review_id,helpful_votes,total_votes
R1EO2IR490U1S3,36,37
R2AYGW64ACH46B,30,33
R17ENCI247FYQJ,62,70
R7P5Z0X2DXQYH,33,41
R2LTD5MLL77JAB,47,59
R27KZ5S3YFHMB5,20,21
R2I2E1W22H71O2,20,20
R284AHMQT7YKU,49,59
R3RH57VG7P4E1J,47,48
R2RGZ47YDH7CBV,19,21
ROFMESPCW8OGA,31,36
R1HXG4UMO9MA33,30,31
RZ1T6GS413S30,32,33
R36QZJJGC0AF9H,38,42
R2OGVBCBFILXSR,20,20
RKYU6Q7898Z55,25,25
ROOSSC6P8H2FO,43,46
RMUIS1FQVMI1S,35,42
R3UBJFZ3EY2MQ3,45,49
R250X2B0MNHC7V,21,26
R26K5BKNI6AA0Z,26,29
R1OVYR81PA7C2Q,21,21
R1YVQE8G6WVSZC,21,22
R19HBUAWL0GVWY,31,36
R2IP6N6T0WB8QQ,23,25
R1CJ65FX6C4VF8,45,49
R25ZOIL6S5XNTM,19,25
R18N2JEGK9L3VR,24,36
R1X5XJ2E7VSL2F,22,22
R3NOBDDBQGUT1K,20,23
R2RXK8ES0LI742,22,22
R11SCXKII2VPSQ,1,130
R82FRDDRANWWQ,14,24
R2DAKJCP1UH4AO,145,145
R1FOM9IF6P9LGJ,29,30
R3D664IDYNL5Q8,28,30
R1KSAXPGVAQBAF,21,21
R2BRT32RCQ78CV,15,20
R3HGYYSTY1H580,38,39
R21IH9K5RTEU82,23,26
RPF8HII6U1SQW,21,21
RN0U3PGKMB5GW,92,106
R2LWCSW2ZQ1V8G,48,52
R316BKLUF9MTE3,31,34
R2AEHTPQO42WXE,21,25
ROSW6U5WOW7SF,21,23
R3AEYAVJISGPBQ,48,52
R2976RMJI6SMJK,12,37
R1JBABWQC1GLGJ,24,27
R24XXZ6URF4PQV,96,100
R2IC2EDCI0X3UI,20,20
R4Q8HOJ5XVI9S,76,79
R2JOIU2WNHTMIG,9,23
R2F07007CB6SU5,30,36
R13FENZYR8MXUX,21,23
R1KKJX8C3JDBH8,20,22
R3H1KXBDZOOTS9,22,22
R27AHN8UFHU6QA,24,29
RS1GHC0LZRTWN,33,34
RC331YWSELIZK,90,108
R21ZJMP741899W,28,34
R3HVVBRNRC0HKH,38,46
R8Q4OQPJUX9VV,1,24
R31HF61HC69V4L,21,21
R3TIRTJV1SK7MR,39,42
R3RVFVMA9KQA0X,28,30
R3P7NW3ZLXQWM3,18,21
R2BWA1B6JRTP59,36,37
R68C370QQBT59,31,31
RYIALANDGC1JL,31,35
R8XKF8OISPF3T,24,29
R3CNE30AZJCYCK,16,25
R3PQ3SWP9HXWE5,399,416
R3L858020PI38S,20,20
RJ08NTRAS4DF7,8,120
R14R8X1G9LLDIC,48,61
R3CJLJMNS5POS6,261,267
R81PNWB8VO9TN,23,30
RU421RXQ6SD6X,61,67
R2KC1FAFQQPCFI,17,24
R1FNZP1HJ9CVIT,17,24
R23B8L3JG68WKE,19,21
R1FWWK5QN9BY7D,35,37
RGYWEU8C2W07H,19,22
R2EH1328KF7GYG,47,48
R210CQSC88GU9O,129,144
R87ES3GWW5G4T,56,59
R3TVD9Q4Y6QVU8,21,22
RTVR0PULI4NIN,17,20
RQHCEFCV0E6M7,108,120
R319REXR5OIQYR,20,20
R1P5R1KUVWYDCB,59,64
R2WS9TSQJ4ECU5,24,35
RN9GU9Q0MC3BQ,39,40
R22DK7IV491FPV,25,30
R3RIR6KBW5TIE4,56,58
R1YRBQAX736DAA,20,22
R2HP672D4QBOED,26,29
R1RD8Q45EXICC3,24,25
R2K0SE9YU1HNO9,20,22
RP9VC0WGCA0XO,60,62
R2XNS7Z8JWTDPK,71,76
R12CEKZ9C00XXD,64,74
R3TZCH2AT0BYAD,53,57
R1G2PTIQI67TBB,6,20
R1CJFJVQPFGIEK,24,25
RVSUNVHZFGWSU,25,27
R2V03ZYYKLFQFQ,36,43
R23E2JOFSX1P17,28,31
RYTZJ6UB5QJMY,57,60
RZLW47TMPGH24,21,22
R2KBW03MYIYZ3S,18,20
RH7Y6G76RF8XR,19,20
RE12ZTEZBDIDZ,19,20
RJND30ZZ3GZ2P,20,25
R3AR1AFEOCI37M,26,31
RCTNG2JQYAV2D,23,24
R1N4AXDSTKTIAG,1,35
R5IUSO369HUNI,79,88
R1W8O49AR4Z7BS,32,34
R3E3AGIH4KLURO,65,67
R15OGNK0WLGO51,22,22
R35GA50NF483LR,22,24
R3LERVKB5MQPI4,74,75
R3SCWCXWMH231G,40,44
R24TC4I7LMOGR1,51,55
R3IJMKNTBCDSFN,69,73
R3EI0FDA98EPGS,20,20
RGDLTSIBB950D,21,21
R3AO7E8S2QE271,39,44
R5RHXGR9QK0OH,2,24
R1U6A9NCBQL45F,49,52
R1VOE1RXL7YZY2,86,87
R236SXYC2TSWST,2,28
RUGX3Y8J5Z488,8,20
R39LSRHGQCCOZD,20,22
R1NET57EOO0FTU,44,49
R2O04V4OWY2G2C,170,173
R95IIAZUN38YD,22,31
R1YCD36CPVW9WD,5,28
R1OR6UMG90D8KY,18,22
R1J4L6SU5UAJWW,72,77
R6LFOZBNUJMPI,70,72
RZT6NLOS2M5VK,26,27
RM1O5DP0AAWKY,172,188
RI1JLM6D8RTD6,13,30
R3FTE2ERH0TV4J,42,43
R2OU95OTQ8KIAG,47,64
RL4XVZQJHP4XV,27,51
R11AUS9BJQIKN7,19,21
R1WCDTLST10LRK,32,34
RBMYU2X1925FQ,34,35
R2FLXC821XNBM8,44,47
R1KWBXV79CGBNZ,75,81
R2WMPY1AUT9TOG,52,54
R30DTRNHCVLBOE,20,21
R3JM3OGDN9WIUU,52,54
RH9GHVICRP19S,1,30
R2I9RLDLD55XOK,76,84
R29F8JX9AKA0XS,48,49
R1NIICHD42V2BB,32,33
R2Y1X1U2XI8YLG,41,46
RUP51YXICWTGN,22,26
R1OA453QAM97GJ,22,24
R1PT9NLZXYG4DH,21,22
R6BFI3MK5IP5L,34,37
RCPF1UE9IXBLI,36,38
R2FQ65B3QAP4CD,83,132
R10XP9TIN08BNI,23,25
RWDQE59QCK4X8,15,39
R35BTJ0WZJ5UZK,31,31
R3HTQBSCHBWEAY,6,22
R5X29LSD7CCHX,68,71
R5VLYNDOTTY01,25,28
R36TI0B7UTJIDE,62,70
R2WMQKV21DSCAY,23,23
R1E4LBKC9UAJ46,74,85
R3ST1KB5VH1EXR,26,28
R2W07RGZ0O8WDK,47,50
R2FAG8KI4UW113,21,22
R1ZUYKERF9FGH9,26,28
R8E17WRENHZSR,191,194
R27LEW3XBQI7T2,19,20
R1ETY25VY53RC3,53,54
R3F9FKSPNRLNT5,16,20
R3P7FTUTYRQPGE,50,55
R10TDJ2UKL7F0,424,454
R22A49WI632FTJ,45,52
R3CJR6LJFPYMBL,40,45
R3E3SEWCI9QQES,1,20
RIVFE9VO7QBNB,23,24
R1DWE03292K83F,67,76
R2WUZVRW9ISR25,7,35
R2SGC64LFU38KA,39,45
R2M3T9GYR8IKO1,44,44
R1XXEG4O0MFTS8,24,31
R3LQ1MDHP4JLGG,72,80
R28UMQOFSWLR1U,19,20
R1Q0HPIXR02MI7,19,20
RDA7F8A8BVR8G,42,51
R3BVL2TRM04O28,21,24
R3RA4VMVQZ7WYR,107,116
R399YB9BU05TON,22,23
R2LRK65A4MZEOK,19,27
RJ1WMT7S8IPSL,22,22
R27UPW7VK7U15P,20,25
R2AB7Z4C6JEUMZ,22,22
RNOAFICO1YIRB,30,30
R1PTTY0X2433YN,26,56
R315U3HW2WR8WS,27,30
RQJ6GV1X9NY3O,23,24
R27B0EO11RLJGP,20,24
RTZX5634JF508,21,28
R3JIAUIAID9PXO,51,51
R3S6JI80FSXKO2,45,46
RE2FFLKZJF8AF,31,31
R3GR5QHIWRZSDD,23,23
R2DL9SUXDODP92,31,32
R64XYIYNMS1YT,132,157
R1FQP3WQ3ATI7U,40,45
R2HPQKBR0G1HDA,20,23
RLAH50UL2TFDK,27,29
R27UKD7AWSTLCW,20,23
R2EWD4G6ERJKKM,55,60
R2ZWZW9YJS3ODJ,44,49
RNAGNN7FZ0WTE,113,115
RRSPVEFZMUH8A,20,21
R17WI1VQYCLJVX,24,24
R7WBGBAET04TY,29,29
R1QU3JKUZAG3RC,2,34
R1B93R5MEJJNDX,29,31
R2S2MUXC3Q2DLN,29,29
R31960JU0SGV9H,30,31
R1MYU2Q61ZZWG,23,27
R39T8S8MHO2J32,21,24
R3275DSRAYAD2T,49,55
R2T5QXDLQSYWPG,26,26
R2G58HJKVGLUM4,30,32
R3P06S662SWOVX,27,27
R23JXB7YYLLOJW,32,39
R1FHMWQZPWP8GK,91,94
R2ETM3L44IY5TY,32,36
R1I9CTIPXNL4RY,43,43
RS9CUNGSXMO9C,43,45
R2M111TVW0OGE4,26,30
R1FKPTO4GTIK2W,27,29
R1DWV4PX3WOJLF,21,24
R2VGFUQPWXEYFK,22,22
R332XQCIU8WFZ5,133,137
R1GB30AGA60R1H,88,95
R2WZZ3K2UZAQAA,45,46
R18LR5YRO2KJHG,33,35
R3BXI2PVALTF0U,34,34
R1QQB5Y9G9DFLI,17,65
RDRBC19VPGTQL,17,20
R2XZMKOSP6B15Z,25,29
R19GF95Q4KGRU8,20,22
R3QXA9WK7N3W34,11,23
R1IEIDGBA6SCRU,24,27
ROYQE44LSJ6KQ,27,31
RPNYBR3O45I3N,19,22
R1JHM73NGN8TY3,22,28
RF74MUHLHML06,17,20
R20KI1J3I6TKVU,20,24
R2MU10INXC8L3C,20,23
REIKVLWL3ZBB9,50,58
R1QAQ4HF4XR6WP,39,39
R2MVPH8T5AWIPT,21,22
R2VF1MP8WXY8MH,40,42
R79LJAD1NWQUY,25,26
RJD80MC6RSJR2,24,29
R843HJNOKDNRL,35,35
R3IFR8LXGYET3W,28,28
RKSUINT35K0KU,42,42
R150OSA8O6S5BL,30,33
RAU4POA8J6W0Y,23,23
R3HBOQ9ZNEY69C,23,25
R2IOZ64AUYJ5EF,166,171
RMJ03HMIHPB2Z,38,38
R1TS6CAD8VZ54O,30,32
RHE791DMSNSKL,24,27
R3ONSCNLYKIK83,147,179
RXR6MJU18WWYR,18,22
R3HLM5HJ60B1BU,30,33
R3ELBEXTWOA53Z,33,47
R1XAW0GT7WH2T6,3,30
R18U2JDU2VPDYR,27,32
R2WRWVRWZULRYB,46,47
R3LT4EUW75OUY6,5,24
R10M3C6EKAW11S,116,117
R2FI3E99AHCRKQ,19,21
R581EFT9581JV,33,40
R2S0L26WS9WSWS,512,555
R21Z58NAT3Z9J3,44,50
R2M9DC2ECJLAIZ,37,42
RWAEN1J8RNI6Z,27,29
R2N2RT9JUO13PD,22,25
R16ICB2C4DXDM6,20,20
RYH9FMVIRER9S,70,70
R3VPMR8OCBAJJ3,22,25
R3QNET5PW3CBLY,70,73
R1A967QGC6QFR3,20,23
RZQDI1UMT7Q54,18,22
R1OW2Z8B3WU8VE,1,27
RDEGQLF75CB5A,7,32
RTLZTZ4A5Z0ZO,26,35
R393DVEVL57RDM,17,21
R3HHRHGR05TRCT,48,51
R20Z9K9LZ7XPJ2,30,39
R676ESEMG6GVS,65,66
R1DCYRJAXH0OSG,27,27
R2QDDYKM10WU8F,18,21
RNC8D1R582WCZ,8,22
R3MI6CRC8RCW8T,10,28
R3LX73J8ARMEHW,46,50
R314W387FL3FQR,0,24
R37EMCKR2OHVGO,22,23
R2RMYHZUPY2LSU,21,24
R1TDHJ1GZDD61D,1,23
RGU70STPIIFYB,18,22
R3HIBGUS72BKIF,21,24
R69X30ZKCSEOS,21,23
R2I5SWW8YRBSSX,3,23
RSEI0E1X31R7W,20,21
RBZZDH2N5QTUZ,18,24
R3AYYKIGBRLNN8,21,22
R2SRHY2U9JMTGV,3,34
RNWW446C42GFX,35,42
RGSIZJJX3LG59,28,31
R1SBB80GECXHS7,28,29
RLE8TP244HSV4,65,72
R75ULXG18A28K,35,40
ROQQA8QOPM0ZM,20,23
RVAPCG2ZSGN4Q,42,42
R3UIWYYCCD2QIK,11,21
R2BRPPYLWFI67M,73,83
R2YIVOXSPUWALT,23,26
R1VXB7WTXR77V1,22,22
R7RS223ETZXHH,25,35
R3AY1VJFGOD1E0,17,23
R378AIKLLN7WXK,17,28
R3CDTFBXS47DAP,32,41
R3MD55SNCZC5B2,44,48
RFA2DHK1906TO,16,21
R2BHXIA5ANAP1S,34,36
R2PGVC47RLOCGM,28,30
R118OYUFDLQAWU,21,22
R1BWPCOF4D38HD,64,64
R23LD39AB8PJ1B,21,23
R2D59S41BNPM5K,59,68
R2MAZNLRVD3N89,29,34
R6YJFX4O4JG9U,29,30
R3NZFFQXXOWPWS,44,45
R3DTEBKGN8FF7M,18,21
R28WDLXCL2S5X1,43,43
R39MEXUBRJ9E9X,45,55
R29YO9DAR6HAJN,99,105
R210CFMJ6HTM2W,21,22
R1HS3VZUGLY07S,34,41
RRQ6GYP2EUPN1,35,39
R10IQ1RJNG86IJ,37,40
R3HZVCP6E62PHJ,34,38
R38887OZ8NRQ1Z,23,24
R27TYK9YDWYWO7,16,20
R1QBL9DNXYYWW6,20,22
R2ZAQSVM6O2GBE,17,20
R1N6YPPJ6LI0AP,60,65
R16GOSSYQ72L8K,39,40
R23HT2V3J1C6AC,25,25
RSCU2N4ERR7KO,17,21
R2JYNJBOMU8P6T,19,21
R2HAFI3WMOMWZE,21,24
R3W1I9B0B2MWR8,34,38
R1601I8LZGWB4D,23,24
R2EJL1M1L7M0A4,22,26
R20Q92MDT0BSRS,20,21
RMG7FZHUP5U7G,27,34
R4IUKODWB9J83,23,23
R206OHJQ52GFDD,19,21
RM9V3RWU7FZFO,544,583
R28W81S6Q7SZ51,37,49
R281N26OKDUVSZ,26,28
R3BFL2H4KMJRC7,24,24
R35TOIMM9BRWF5,20,20
R2K8D7D7X6NCUM,79,84
R19PU3HM6U7PFF,35,36
R2X5YUM8E9Q6AO,19,21
RGO7R4NSNJ49V,16,37
RDLZ5JPEMM4ZE,25,30
R1XNKMBC4O0EZE,32,37
R25N1Z427N1YBS,22,29
RUWXAWUOE1477,39,52
RU9CCXCMV0XV4,20,22
R34VPYV08K1M4R,26,27
R33SE1ZCB9XWC6,47,52
ROLOOB381AEFS,21,25
R3J51H73JTMH6X,0,26
R12I5J26HLCT1X,18,37
R27V6NWZKEZTOA,442,453
R1GJKIWLEZTIPQ,20,20
RJKIROLR11JDJ,22,24
R9SQNGSEF3GXR,66,76
R10ZWA6FYYGOAM,28,29
R2VRW4XVED27TF,41,44
RL4CDV7B1FFXM,59,66
R2U6PJCIJMOTLA,33,36
R3EI1I6CTH5DYK,28,66
R10W8JUR6GKMM2,68,82
R9GMXB1D6AX84,41,41
R2R6A6HDY7XXJO,21,23
R1P7WW7LCTADGC,33,38
R26PLKXLVL5CRR,20,20
R3OFVEQDV3RLSY,25,27
ROAD19TQM5L7T,36,44
R24X2OQ1DMFQ1W,20,21
R1F8IB5S2BNAJL,29,38
R3V5WSG5VMLGXW,29,34
R3M61K83N9E451,23,24
R2E29VS6V4NWRJ,55,55
R2ZAKLYUIDUL8F,4,24
RYSUJ8S9ODJ2N,20,21
R7AA238EZ69RT,54,60
R3JZV34T8CVM6B,22,23
RF56HSLT7HIK3,86,102
RM10TZ7OS0PLK,29,34
R1ILB273459UDZ,108,110
R20DJWVD1HO92Y,29,30
RWGL4WQBV1QTE,23,23
R2J6LUGI1SSQIY,28,29
R2JAYN5CIJJ4YV,17,22
R2DYPNAF19UYX0,20,22
R35U3VCJFRC0A,26,28
R26KW6B5VTMJX1,12,21
R11HG3SEE0XJ5Y,22,24
R3O13W565J3YXD,27,30
R5KPQ6Y8P067J,13,46
R1JAZ34FRHDAYJ,21,22
R24IQ28QRIKN1Q,13,35
R2KA6LD47YYRSA,60,60
R2IUW5WX23T8TD,37,44
R17AGOP6KDYD2G,22,22
R1G5LC5L8XP7VX,31,32
R1FW2UAM1LWLV4,16,28
R1VQCRBFJDBOMQ,35,38
R3OLDRUZR9ZZRT,21,22
R1DBWHTJHHBAJU,41,42
R1Y8XQZK1HLPYK,23,25
R2A7TYHCWG6WZL,129,136
R1YKILB2INP1WA,34,40
R23EB9PXGT1HL5,20,21
R1BWROCPWWEY6F,176,185
R187KFI5RS323A,36,38
R3ADA4K42P8RRT,262,273
R2LM9QZYP6LOZ0,25,26
R1E19YEGD91KZK,21,24
R1GYD1DTFS9JKZ,34,55
R5BB91UH29X2Q,30,34
R2CTZNAW2VFDQ5,28,32
R2OQ5J9DNM8M8B,51,58
R15QADIIQST2X2,54,54
R3RN21KUH9OTLO,40,50
R3UZEM1WYSB6PJ,24,24
R2EMCFRTM2FGA0,27,29
R34MOBYP4ZLX7J,22,22
R2PU3ZX5F9HKIS,60,62
R1TV25X9PIB2YY,18,23
R16BGC8YXU7XFX,20,21
R2JAB90NDSS7HB,35,36
R37FUIACNS2QFS,1,50
R3EJEKA3HHE25U,95,105
R2IMP2L1QXL82S,32,32
RUBYEUFGVBDGB,24,24
R3GIQKI8DA8CLI,80,82
R1ACX9VFMY3TIJ,29,29
RTOF572SS7AJI,17,21
R387RU30FHEJMF,23,25
R38AMXP4D2OHZL,26,26
R2AYEZUAALD1RB,4,21
R3DFS9TRRSCOY4,58,68
R2XMMDSNDYSOBC,30,33
R29LHG8SZT9VZ1,21,22
R1HPJTLZW60299,23,26
R1P67OYXEM36LU,58,62
RAGN0MXX3F9PI,120,146
R1581ETFCCJART,20,20
R3TKQTTWUJINU3,19,21
R8NNL42Z8J5MC,116,122
RLUHH90048MZD,79,81
R2RI7XO1TK5UFH,27,36
R3JJTIRNMVBS7E,34,37
R14RN9LYFQZGKD,34,35
R1QYROLFQIHE7E,4,62
R1UMXCJIU9ZN9P,19,22
R1RR92KFB9K9KF,31,32
R2VRHJLFFDBP3M,29,31
R1L2ECMX86XA6B,28,29
R3CKH7HFCQQVGZ,6,23
R398W40J8I5C7I,29,34
RTO1DYK99M974,110,123
R3GG2MRMUAPFML,22,25
R29K4S4ZBE9W7A,28,28
R2ZITL90K83A9Y,49,49
RIVWR9SDUE02Y,26,26
R17TKZCKAWCVUS,28,31
R7GXA6VOVG5YL,21,25
RID12EPQYJNN1,19,22
R10TV8AZISSKU6,43,55
R2ICQ14XSKFCU9,26,30
R3E6A89Z6QRKT4,21,24
R38AT91YX0GWKS,31,47
R3QZ2OI9R5AXDW,30,34
R2A53QEDA42YOP,24,25
R1QMTEUI3K3QN5,58,64
R8KBOHCPM1V6A,27,31
RATO4NRFL1U8G,43,45
R1VWJMHS9QN5QE,38,38
RTV1TRPSGMKHS,18,20
R2TWR5YOT6YFWF,122,129
R3KMTN53IN33BR,21,22
R1WNKFYJ9E8R0G,24,24
R3H4V5GAIZKVAL,29,30
R2CPJSIUO7QDMI,22,24
RMBVQVNLIGUPE,59,64
R2661WZSOMU5R3,24,28
R3RDJPBHF9OPWE,32,37
RFKS74N5WJY7F,19,22
RM19AXYMR6GLL,29,30
R3RFUHOIE5M496,18,20
R38MS5IWC76DID,228,237
R1W5DB0THK00S7,19,20
RQS88H5AB5F6H,27,27
R1ARE57JH5REIM,95,98
R13HDTLOS6YZE5,1,20
R3B24OO6E1Z4Y0,21,23
R2BZM00Z63I3WU,1,20
R317YAM66MOHKV,40,50
R1EKVLR26DFD7Z,23,23
R3ENWEY6M8JYOU,41,43
RAJUW0DTVSN6S,19,29
