review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase, Percent 
RXXXQ7Y5YSLKP,1,7,21,N,Y, 0.33 
R32B8AG9V1SFDY,1,39,41,N,Y, 0.95 
R229GQNYTX703V,5,27,28,N,Y, 0.96 
R2N78GZEAQ0LYA,5,103,108,N,Y, 0.95 
R14DNCKWUGC8BP,3,20,20,N,Y, 1.00 
R2U5CTNQKEXGOM,1,18,24,N,Y, 0.75 
RD8VNAXVNCW0G,4,54,57,N,Y, 0.95 
R32F2IOYF67XHX,5,18,23,N,N, 0.78 
R2IDTEF8V5RFBO,5,45,50,N,Y, 0.90 
RB1WJL4JN5OYK,5,24,26,N,Y, 0.92 
R33YROEPV3A21Z,4,24,26,N,Y, 0.92 
R3LLNDATB205JX,4,21,21,N,N, 1.00 
RZTSOK7FIW37P,5,15,21,N,N, 0.71 
R3W1GP15R5NSB2,1,25,26,N,N, 0.96 
R1E85KTTO5E2AA,1,1,20,N,N, 0.05 
R2600AF17O4AHP,3,22,32,N,N, 0.69 
RN2DYLXOAW9C9,5,43,50,N,N, 0.86 
RC62R26HD1NTN,5,65,66,N,Y, 0.98 
R1KQ7H6E9JGSTK,5,65,73,N,Y, 0.89 
R1OPE7BSBMZLHU,5,22,22,N,N, 1.00 
R3L55HFQJLQ4JB,4,20,20,N,Y, 1.00 
R26IKJ9STLORRE,1,5,71,N,N, 0.07 
R3EAXGJK2YNYYB,3,101,103,N,Y, 0.98 
R1K2YS49W3Q3RY,5,25,28,N,Y, 0.89 
RW20AYQ16I9FM,5,28,35,N,Y, 0.80 
R3IHBJBZQIEHEC,4,27,28,N,N, 0.96 
R2SGKQYDD08CUC,1,39,40,N,Y, 0.98 
R24LLPB08SD6H9,5,30,31,N,Y, 0.97 
R2UI2DQ0LYGVE9,5,38,39,N,Y, 0.97 
R3ALVWA63KMNAK,4,94,98,Y,N, 0.96 
R1KUWY47AMC4J9,1,1,20,N,Y, 0.05 
R1TZPSC1UWQ1Z7,5,16,20,N,Y, 0.80 
R1CIL1JOCV5STL,3,49,57,N,Y, 0.86 
R9CQHG4XFHBC9,5,69,70,N,N, 0.99 
R2ZNS0DGAFK71F,5,10,22,N,N, 0.45 
R3OISTNTWJ35WC,2,3,25,N,Y, 0.12 
R1VFC83GF350NB,5,47,49,N,N, 0.96 
R1A3T6ULD2793O,5,30,33,N,Y, 0.91 
R1L07R1X9HH030,5,27,32,N,Y, 0.84 
RPSL8S9E337VH,5,57,64,N,Y, 0.89 
R38YJ62KUEM3GI,2,33,33,N,Y, 1.00 
R1T60HQEPKX9VM,5,21,22,N,Y, 0.95 
RC68OTPA5F2KO,4,34,34,N,Y, 1.00 
R2LLR8GHD5ZEFU,5,48,50,N,Y, 0.96 
R3T6ZG6X3NHDJS,5,38,42,N,Y, 0.90 
R1EFSQ9TZ1QLA8,5,167,168,N,Y, 0.99 
R13PA3YETVQDNK,5,92,103,Y,N, 0.89 
R1HSBLSVMMT4XS,1,18,21,N,N, 0.86 
R1G8EBF7XO5Z0P,1,30,32,N,Y, 0.94 
R3QZHLOA1KVVWN,5,28,29,N,Y, 0.97 
RP6T8UU4D2EG7,5,25,25,N,Y, 1.00 
R30USWZHV6RUTR,5,20,24,N,Y, 0.83 
R2HKW1GC7JQNIM,5,20,21,N,Y, 0.95 
R2RSJJT56QSJMW,1,30,38,N,Y, 0.79 
R2ODVDSL169DDY,5,31,32,N,N, 0.97 
R1G28NI332HSV6,5,23,23,N,Y, 1.00 
R2AE46ZAWL75YM,5,23,25,N,Y, 0.92 
R2NHBQZ59MRUG3,1,45,75,N,N, 0.60 
R689DOVOTEJF6,1,20,35,N,Y, 0.57 
R2WLIIF948I4L4,5,24,24,N,Y, 1.00 
R2DQY487SMZNV6,5,46,53,Y,N, 0.87 
R3IW71UFEB3AEE,4,22,24,N,N, 0.92 
R1WGYEIRGVX56Y,5,47,48,N,N, 0.98 
R2S6B7WGDU1IRV,2,23,26,N,Y, 0.88 
RZ94I18S54EHQ,3,124,130,N,Y, 0.95 
R364VVNJT2EA18,5,26,27,N,Y, 0.96 
R1HFLGLUPUYI87,5,27,29,N,Y, 0.93 
R8DKWIQUWKHRU,4,30,30,N,N, 1.00 
R3H1AV81NLE6C1,5,18,26,N,N, 0.69 
R336TLZLH2ULV0,1,0,49,N,Y, -   
R2RMKN4JQDI5I7,5,28,28,N,Y, 1.00 
RB1L0UQ59WSPR,5,28,30,N,Y, 0.93 
R3RA03UCLZBKAK,3,34,37,Y,N, 0.92 
RJHJPM9VN871O,2,73,96,N,Y, 0.76 
R1OMMDV1CSZ6RB,3,29,30,N,N, 0.97 
R24O11JP45PNLP,5,177,193,Y,N, 0.92 
R2QNRZZCU6ZLJC,5,42,46,N,Y, 0.91 
R12WHKC3CDHDI6,4,20,20,N,Y, 1.00 
R3479NJDBNL4GH,5,31,31,N,Y, 1.00 
R3R15IEWJJPSV9,5,50,51,N,N, 0.98 
R16VV3DQTK3426,5,72,79,N,N, 0.91 
R1BYMY08L9O8LX,4,20,20,N,Y, 1.00 
RC4QHD6L1X8PN,5,32,33,N,Y, 0.97 
R2II0DRKU3ZK43,5,38,43,N,Y, 0.88 
R2A7OTAF65FYKD,5,19,21,N,Y, 0.90 
R1J8MT3ADZSKXQ,5,173,178,N,Y, 0.97 
RDN4ZNUAIOY03,2,24,24,N,N, 1.00 
R18KAMWSXJMEMW,5,28,30,N,N, 0.93 
RVLX8XMXKPTBJ,5,19,20,N,Y, 0.95 
R1F4RD4UK8USRJ,1,25,26,N,Y, 0.96 
R39ZPK8M8735US,5,73,79,N,Y, 0.92 
R1UKR35YG14WSU,5,22,22,N,Y, 1.00 
R2D5WQ9REMJO05,5,32,35,N,Y, 0.91 
RVKKZ9G9NRTQF,3,4,21,N,Y, 0.19 
R2M27CDGNTIQ8X,5,106,112,N,N, 0.95 
RFY6F1M2EPJBM,5,27,34,N,Y, 0.79 
R1HLMLAVIZ1EK,4,23,26,N,Y, 0.88 
R30Y6JL8U60Y80,5,21,21,N,N, 1.00 
RZDXN0YVPBDCW,5,82,89,N,N, 0.92 
R32CI0LCNIACTF,5,76,79,N,N, 0.96 
R23M0KXMA7NE59,5,20,23,N,N, 0.87 
R3A8LRP9P2EZDT,5,20,21,N,Y, 0.95 
R27I6L0R2WPG50,5,30,31,N,Y, 0.97 
RV716YK8H6Y9A,4,48,56,N,N, 0.86 
R35ACZDN3D2NZO,5,52,56,N,N, 0.93 
RZBOM47K97CHL,1,73,84,N,N, 0.87 
R3SJS0M8US7TKB,1,49,49,N,Y, 1.00 
RQP7T1RKV26BQ,5,19,20,N,Y, 0.95 
R1LVDPVKYMAFE6,5,20,22,N,N, 0.91 
R116NIIYCHKWNI,1,37,48,N,Y, 0.77 
R337I2YH9X6FQ4,5,22,26,Y,N, 0.85 
R2F8KWNDX2FICB,5,19,20,N,Y, 0.95 
R4NGX17TJB3OY,5,40,44,N,Y, 0.91 
R1US2OGDOVW4MD,1,16,26,N,N, 0.62 
R2AIODMNQD0HC7,5,20,22,N,N, 0.91 
R18OQ3W8UDZJX1,4,17,27,N,N, 0.63 
R3OY62MEH4Y9XM,5,20,20,N,Y, 1.00 
R2F6NMTVIS0CLM,1,34,39,N,Y, 0.87 
R2NU2WYYIRSTDS,5,90,92,N,N, 0.98 
R2X5P1NB5YDGDM,5,22,24,N,Y, 0.92 
R11RVT04OOROSZ,5,102,109,N,Y, 0.94 
R1OFF2XR5O3FIL,1,14,20,N,N, 0.70 
RZL7YV3TL2OR3,1,33,37,N,Y, 0.89 
R3664AA6C9XRPZ,5,20,21,N,Y, 0.95 
R27N2XCLNAETBG,1,34,36,N,Y, 0.94 
R182QMSLSG5W2W,5,23,28,N,N, 0.82 
RIRDCI5JUPZFX,4,67,72,N,N, 0.93 
R2AKCHIQG1B11E,3,51,54,N,N, 0.94 
R2LMMSU8IZDLKV,5,33,36,N,Y, 0.92 
R1IEILD9FMNU3Z,5,21,21,N,Y, 1.00 
RV0GXE1FYIH1D,5,17,20,N,Y, 0.85 
R3L00CM1E3HIAJ,1,27,113,N,N, 0.24 
R1DRVI3IMCWD6J,5,26,26,N,Y, 1.00 
R1JZ082FZR3SNU,1,16,20,N,Y, 0.80 
R1U8TJXHUJJ2MY,5,13,27,N,N, 0.48 
RA6X7992H99P9,5,18,20,N,Y, 0.90 
R3MB6IK5XN263B,1,19,22,N,Y, 0.86 
R2RUG4VSMSG53L,5,78,84,N,Y, 0.93 
RX7QUDACJNXII,5,20,20,N,Y, 1.00 
RRC6UGK8OMKA8,1,3,33,N,N, 0.09 
R1PHHOOQ0TL7OQ,3,54,57,N,Y, 0.95 
R3U89VIIUJDHQR,2,21,21,N,Y, 1.00 
RF6M9Z9HE1AFK,5,123,124,N,N, 0.99 
R3F8FHW2NJ04X6,5,57,58,N,Y, 0.98 
R2IFTEWVIR2CQQ,4,41,49,N,Y, 0.84 
R2KZDVWO6S4SD0,1,72,87,N,N, 0.83 
R3RMFHC0JAP6LD,5,19,20,N,Y, 0.95 
R9BDVDXF0NV2Q,5,106,112,N,Y, 0.95 
R3S0NEH3XHFECG,4,65,65,N,Y, 1.00 
R1CXJ7C9HWUV8V,5,23,24,N,Y, 0.96 
R2B9NE9ELK9PF7,2,21,22,N,Y, 0.95 
RVSSNRX70LOTN,3,30,31,N,Y, 0.97 
R1TEICURDJJ0GT,5,19,20,N,Y, 0.95 
R3C0VM93W1Y0JV,4,20,21,N,N, 0.95 
R33FSB8LJ2F9I1,5,24,26,N,Y, 0.92 
RM5GZ426HN9DH,5,23,25,N,Y, 0.92 
R1OGY8O665IOSK,2,163,176,N,N, 0.93 
R3217KS0S7NVM1,4,17,20,N,N, 0.85 
R1S2WZT7HP8BPM,5,75,83,N,N, 0.90 
R2IIY0AEAT5FLQ,5,26,31,N,Y, 0.84 
R3UKB5S8NY8VRJ,3,24,24,N,N, 1.00 
R26OUCGYI19UXD,5,27,30,N,N, 0.90 
RDHPXXBBCWJLD,5,23,23,N,Y, 1.00 
R9HGM3OKJHLZ,3,19,24,Y,N, 0.79 
R3TQYNVAKUB618,3,34,35,N,N, 0.97 
RKB9XOF8DM68H,4,39,45,N,Y, 0.87 
RPGJ2XDOXTNF6,1,9,52,N,N, 0.17 
R1RCGWT37Y6VNY,5,30,36,N,Y, 0.83 
RB38YRL6Z5TVV,5,20,21,N,N, 0.95 
RGNWUEW2RKPQ2,5,32,37,N,N, 0.86 
R337N9A4B4NYIW,5,21,25,N,Y, 0.84 
R2Y9DE7X9AFOIE,3,21,22,N,Y, 0.95 
R2956OOAQB80T5,5,55,63,N,N, 0.87 
RKNGR7G9O482D,4,24,24,N,Y, 1.00 
R2WQVAZ3LOWXYR,5,61,66,N,N, 0.92 
R3JFV8NA3FOJEJ,2,20,29,N,Y, 0.69 
R35ZO4R10KVJ6G,1,13,27,N,N, 0.48 
R2A2A6USTFV1SZ,5,99,117,N,Y, 0.85 
REDRD9YSU2XES,5,35,42,N,N, 0.83 
RL9WDK7A20R8I,5,28,30,N,N, 0.93 
R2HEX54IKH0G3M,1,19,23,N,Y, 0.83 
R2ZKB5SL5OT2EY,4,31,44,N,N, 0.70 
R2B4UF780MBP0A,5,40,44,N,N, 0.91 
R3PDX09432Y1BD,5,118,127,N,N, 0.93 
R1O51IIWD6QSGS,4,33,35,N,N, 0.94 
R3F804AJDQ3X6V,5,43,45,N,Y, 0.96 
R1IRZKEA7JK6ZA,1,12,22,N,Y, 0.55 
R1NKB7DGG9MUH4,3,142,164,N,Y, 0.87 
RN1KHG4C8UBWM,2,43,47,N,Y, 0.91 
R1A60I6J9IIXHP,5,20,20,N,Y, 1.00 
R2ODFJDQ7PFEPY,2,31,38,N,N, 0.82 
R24F5Z5ZLJQ1JF,1,1,28,N,Y, 0.04 
R1EO2IR490U1S3,5,36,37,N,Y, 0.97 
R2AYGW64ACH46B,2,30,33,N,Y, 0.91 
R17ENCI247FYQJ,2,62,70,N,Y, 0.89 
R7P5Z0X2DXQYH,1,33,41,N,Y, 0.80 
R2LTD5MLL77JAB,1,47,59,N,Y, 0.80 
R27KZ5S3YFHMB5,3,20,21,N,N, 0.95 
R2I2E1W22H71O2,5,20,20,N,Y, 1.00 
R284AHMQT7YKU,5,49,59,N,Y, 0.83 
R3RH57VG7P4E1J,5,47,48,N,Y, 0.98 
R2RGZ47YDH7CBV,4,19,21,N,Y, 0.90 
ROFMESPCW8OGA,4,31,36,N,Y, 0.86 
R1HXG4UMO9MA33,5,30,31,N,Y, 0.97 
RZ1T6GS413S30,5,32,33,N,Y, 0.97 
R36QZJJGC0AF9H,2,38,42,N,Y, 0.90 
R2OGVBCBFILXSR,5,20,20,N,Y, 1.00 
RKYU6Q7898Z55,2,25,25,N,Y, 1.00 
ROOSSC6P8H2FO,5,43,46,N,N, 0.93 
RMUIS1FQVMI1S,5,35,42,N,Y, 0.83 
R3UBJFZ3EY2MQ3,4,45,49,N,N, 0.92 
R250X2B0MNHC7V,5,21,26,N,N, 0.81 
R26K5BKNI6AA0Z,5,26,29,N,Y, 0.90 
R1OVYR81PA7C2Q,2,21,21,N,Y, 1.00 
R1YVQE8G6WVSZC,5,21,22,N,Y, 0.95 
R19HBUAWL0GVWY,5,31,36,N,Y, 0.86 
R2IP6N6T0WB8QQ,5,23,25,N,N, 0.92 
R1CJ65FX6C4VF8,4,45,49,N,Y, 0.92 
R25ZOIL6S5XNTM,5,19,25,N,N, 0.76 
R18N2JEGK9L3VR,5,24,36,N,Y, 0.67 
R1X5XJ2E7VSL2F,5,22,22,N,Y, 1.00 
R3NOBDDBQGUT1K,2,20,23,N,Y, 0.87 
R2RXK8ES0LI742,5,22,22,N,Y, 1.00 
R11SCXKII2VPSQ,1,1,130,N,Y, 0.01 
R82FRDDRANWWQ,1,14,24,N,Y, 0.58 
R2DAKJCP1UH4AO,4,145,145,N,Y, 1.00 
R1FOM9IF6P9LGJ,5,29,30,N,Y, 0.97 
R3D664IDYNL5Q8,4,28,30,N,Y, 0.93 
R1KSAXPGVAQBAF,3,21,21,N,Y, 1.00 
R2BRT32RCQ78CV,3,15,20,N,Y, 0.75 
R3HGYYSTY1H580,5,38,39,N,Y, 0.97 
R21IH9K5RTEU82,5,23,26,N,Y, 0.88 
RPF8HII6U1SQW,1,21,21,N,Y, 1.00 
RN0U3PGKMB5GW,5,92,106,Y,N, 0.87 
R2LWCSW2ZQ1V8G,4,48,52,N,N, 0.92 
R316BKLUF9MTE3,4,31,34,N,Y, 0.91 
R2AEHTPQO42WXE,4,21,25,N,N, 0.84 
ROSW6U5WOW7SF,5,21,23,N,Y, 0.91 
R3AEYAVJISGPBQ,5,48,52,N,N, 0.92 
R2976RMJI6SMJK,1,12,37,N,Y, 0.32 
R1JBABWQC1GLGJ,3,24,27,N,Y, 0.89 
R24XXZ6URF4PQV,1,96,100,N,N, 0.96 
R2IC2EDCI0X3UI,4,20,20,N,N, 1.00 
R4Q8HOJ5XVI9S,5,76,79,Y,N, 0.96 
R2JOIU2WNHTMIG,1,9,23,N,N, 0.39 
R2F07007CB6SU5,1,30,36,N,Y, 0.83 
R13FENZYR8MXUX,5,21,23,N,Y, 0.91 
R1KKJX8C3JDBH8,5,20,22,N,Y, 0.91 
R3H1KXBDZOOTS9,5,22,22,N,Y, 1.00 
R27AHN8UFHU6QA,5,24,29,N,Y, 0.83 
RS1GHC0LZRTWN,5,33,34,N,Y, 0.97 
RC331YWSELIZK,5,90,108,Y,N, 0.83 
R21ZJMP741899W,5,28,34,N,Y, 0.82 
R3HVVBRNRC0HKH,5,38,46,N,Y, 0.83 
R8Q4OQPJUX9VV,1,1,24,N,Y, 0.04 
R31HF61HC69V4L,3,21,21,N,Y, 1.00 
R3TIRTJV1SK7MR,5,39,42,N,N, 0.93 
R3RVFVMA9KQA0X,5,28,30,N,N, 0.93 
R3P7NW3ZLXQWM3,5,18,21,N,Y, 0.86 
R2BWA1B6JRTP59,3,36,37,N,Y, 0.97 
R68C370QQBT59,5,31,31,N,N, 1.00 
RYIALANDGC1JL,5,31,35,N,N, 0.89 
R8XKF8OISPF3T,3,24,29,N,N, 0.83 
R3CNE30AZJCYCK,1,16,25,N,N, 0.64 
R3PQ3SWP9HXWE5,5,399,416,N,Y, 0.96 
R3L858020PI38S,5,20,20,N,Y, 1.00 
RJ08NTRAS4DF7,2,8,120,N,Y, 0.07 
R14R8X1G9LLDIC,1,48,61,N,N, 0.79 
R3CJLJMNS5POS6,5,261,267,N,Y, 0.98 
R81PNWB8VO9TN,3,23,30,N,Y, 0.77 
RU421RXQ6SD6X,4,61,67,N,Y, 0.91 
R2KC1FAFQQPCFI,1,17,24,N,Y, 0.71 
R1FNZP1HJ9CVIT,2,17,24,N,Y, 0.71 
R23B8L3JG68WKE,5,19,21,N,Y, 0.90 
R1FWWK5QN9BY7D,3,35,37,N,Y, 0.95 
RGYWEU8C2W07H,5,19,22,N,Y, 0.86 
R2EH1328KF7GYG,1,47,48,N,Y, 0.98 
R210CQSC88GU9O,4,129,144,N,Y, 0.90 
R87ES3GWW5G4T,5,56,59,N,Y, 0.95 
R3TVD9Q4Y6QVU8,5,21,22,N,Y, 0.95 
RTVR0PULI4NIN,3,17,20,N,Y, 0.85 
RQHCEFCV0E6M7,5,108,120,N,Y, 0.90 
R319REXR5OIQYR,5,20,20,N,N, 1.00 
R1P5R1KUVWYDCB,1,59,64,N,Y, 0.92 
R2WS9TSQJ4ECU5,1,24,35,N,Y, 0.69 
RN9GU9Q0MC3BQ,5,39,40,N,N, 0.98 
R22DK7IV491FPV,5,25,30,N,N, 0.83 
R3RIR6KBW5TIE4,1,56,58,N,Y, 0.97 
R1YRBQAX736DAA,2,20,22,N,Y, 0.91 
R2HP672D4QBOED,5,26,29,N,Y, 0.90 
R1RD8Q45EXICC3,5,24,25,N,Y, 0.96 
R2K0SE9YU1HNO9,5,20,22,N,Y, 0.91 
RP9VC0WGCA0XO,5,60,62,N,Y, 0.97 
R2XNS7Z8JWTDPK,5,71,76,N,N, 0.93 
R12CEKZ9C00XXD,1,64,74,N,Y, 0.86 
R3TZCH2AT0BYAD,1,53,57,N,Y, 0.93 
R1G2PTIQI67TBB,1,6,20,N,N, 0.30 
R1CJFJVQPFGIEK,5,24,25,N,Y, 0.96 
RVSUNVHZFGWSU,4,25,27,N,N, 0.93 
R2V03ZYYKLFQFQ,2,36,43,N,N, 0.84 
R23E2JOFSX1P17,2,28,31,N,Y, 0.90 
RYTZJ6UB5QJMY,4,57,60,N,Y, 0.95 
RZLW47TMPGH24,4,21,22,N,N, 0.95 
R2KBW03MYIYZ3S,5,18,20,N,Y, 0.90 
RH7Y6G76RF8XR,3,19,20,N,Y, 0.95 
RE12ZTEZBDIDZ,4,19,20,N,N, 0.95 
RJND30ZZ3GZ2P,5,20,25,N,Y, 0.80 
R3AR1AFEOCI37M,4,26,31,N,N, 0.84 
RCTNG2JQYAV2D,5,23,24,N,Y, 0.96 
R1N4AXDSTKTIAG,1,1,35,N,N, 0.03 
R5IUSO369HUNI,2,79,88,N,N, 0.90 
R1W8O49AR4Z7BS,5,32,34,N,Y, 0.94 
R3E3AGIH4KLURO,5,65,67,N,N, 0.97 
R15OGNK0WLGO51,1,22,22,N,N, 1.00 
R35GA50NF483LR,5,22,24,N,Y, 0.92 
R3LERVKB5MQPI4,3,74,75,N,N, 0.99 
R3SCWCXWMH231G,5,40,44,N,N, 0.91 
R24TC4I7LMOGR1,5,51,55,N,Y, 0.93 
R3IJMKNTBCDSFN,4,69,73,N,Y, 0.95 
R3EI0FDA98EPGS,5,20,20,N,N, 1.00 
RGDLTSIBB950D,5,21,21,N,Y, 1.00 
R3AO7E8S2QE271,1,39,44,N,Y, 0.89 
R5RHXGR9QK0OH,1,2,24,N,N, 0.08 
R1U6A9NCBQL45F,1,49,52,N,Y, 0.94 
R1VOE1RXL7YZY2,5,86,87,N,Y, 0.99 
R236SXYC2TSWST,1,2,28,N,N, 0.07 
RUGX3Y8J5Z488,2,8,20,N,Y, 0.40 
R39LSRHGQCCOZD,5,20,22,N,Y, 0.91 
R1NET57EOO0FTU,3,44,49,N,N, 0.90 
R2O04V4OWY2G2C,5,170,173,N,Y, 0.98 
R95IIAZUN38YD,1,22,31,N,Y, 0.71 
R1YCD36CPVW9WD,1,5,28,N,Y, 0.18 
R1OR6UMG90D8KY,5,18,22,N,N, 0.82 
R1J4L6SU5UAJWW,1,72,77,N,Y, 0.94 
R6LFOZBNUJMPI,1,70,72,N,Y, 0.97 
RZT6NLOS2M5VK,2,26,27,N,Y, 0.96 
RM1O5DP0AAWKY,5,172,188,N,Y, 0.91 
RI1JLM6D8RTD6,1,13,30,N,N, 0.43 
R3FTE2ERH0TV4J,4,42,43,N,Y, 0.98 
R2OU95OTQ8KIAG,2,47,64,N,Y, 0.73 
RL4XVZQJHP4XV,5,27,51,N,Y, 0.53 
R11AUS9BJQIKN7,5,19,21,N,N, 0.90 
R1WCDTLST10LRK,5,32,34,N,Y, 0.94 
RBMYU2X1925FQ,2,34,35,N,Y, 0.97 
R2FLXC821XNBM8,2,44,47,N,Y, 0.94 
R1KWBXV79CGBNZ,1,75,81,N,Y, 0.93 
R2WMPY1AUT9TOG,1,52,54,N,N, 0.96 
R30DTRNHCVLBOE,5,20,21,N,Y, 0.95 
R3JM3OGDN9WIUU,3,52,54,N,Y, 0.96 
RH9GHVICRP19S,3,1,30,N,N, 0.03 
R2I9RLDLD55XOK,5,76,84,N,Y, 0.90 
R29F8JX9AKA0XS,5,48,49,N,Y, 0.98 
R1NIICHD42V2BB,5,32,33,N,Y, 0.97 
R2Y1X1U2XI8YLG,1,41,46,N,N, 0.89 
RUP51YXICWTGN,5,22,26,N,N, 0.85 
R1OA453QAM97GJ,4,22,24,N,N, 0.92 
R1PT9NLZXYG4DH,2,21,22,N,Y, 0.95 
R6BFI3MK5IP5L,5,34,37,N,Y, 0.92 
RCPF1UE9IXBLI,1,36,38,N,N, 0.95 
R2FQ65B3QAP4CD,1,83,132,N,N, 0.63 
R10XP9TIN08BNI,3,23,25,N,Y, 0.92 
RWDQE59QCK4X8,1,15,39,N,N, 0.38 
R35BTJ0WZJ5UZK,4,31,31,N,Y, 1.00 
R3HTQBSCHBWEAY,5,6,22,N,N, 0.27 
R5X29LSD7CCHX,5,68,71,N,Y, 0.96 
R5VLYNDOTTY01,5,25,28,N,N, 0.89 
R36TI0B7UTJIDE,5,62,70,N,Y, 0.89 
R2WMQKV21DSCAY,5,23,23,N,Y, 1.00 
R1E4LBKC9UAJ46,4,74,85,Y,N, 0.87 
R3ST1KB5VH1EXR,5,26,28,N,N, 0.93 
R2W07RGZ0O8WDK,5,47,50,N,N, 0.94 
R2FAG8KI4UW113,5,21,22,N,Y, 0.95 
R1ZUYKERF9FGH9,1,26,28,N,Y, 0.93 
R8E17WRENHZSR,4,191,194,N,N, 0.98 
R27LEW3XBQI7T2,5,19,20,N,Y, 0.95 
R1ETY25VY53RC3,3,53,54,N,N, 0.98 
R3F9FKSPNRLNT5,5,16,20,N,Y, 0.80 
R3P7FTUTYRQPGE,1,50,55,N,Y, 0.91 
R10TDJ2UKL7F0,5,424,454,N,N, 0.93 
R22A49WI632FTJ,5,45,52,N,N, 0.87 
R3CJR6LJFPYMBL,5,40,45,N,N, 0.89 
R3E3SEWCI9QQES,1,1,20,N,N, 0.05 
RIVFE9VO7QBNB,5,23,24,N,Y, 0.96 
R1DWE03292K83F,1,67,76,N,Y, 0.88 
R2WUZVRW9ISR25,5,7,35,N,N, 0.20 
R2SGC64LFU38KA,5,39,45,N,Y, 0.87 
R2M3T9GYR8IKO1,5,44,44,N,Y, 1.00 
R1XXEG4O0MFTS8,2,24,31,N,Y, 0.77 
R3LQ1MDHP4JLGG,3,72,80,N,Y, 0.90 
R28UMQOFSWLR1U,5,19,20,N,Y, 0.95 
R1Q0HPIXR02MI7,5,19,20,N,N, 0.95 
RDA7F8A8BVR8G,5,42,51,N,Y, 0.82 
R3BVL2TRM04O28,5,21,24,N,Y, 0.88 
R3RA4VMVQZ7WYR,5,107,116,N,Y, 0.92 
R399YB9BU05TON,1,22,23,N,Y, 0.96 
R2LRK65A4MZEOK,1,19,27,N,Y, 0.70 
RJ1WMT7S8IPSL,1,22,22,N,Y, 1.00 
R27UPW7VK7U15P,2,20,25,N,Y, 0.80 
R2AB7Z4C6JEUMZ,1,22,22,N,Y, 1.00 
RNOAFICO1YIRB,5,30,30,N,Y, 1.00 
R1PTTY0X2433YN,5,26,56,N,Y, 0.46 
R315U3HW2WR8WS,3,27,30,N,Y, 0.90 
RQJ6GV1X9NY3O,5,23,24,N,Y, 0.96 
R27B0EO11RLJGP,1,20,24,N,Y, 0.83 
RTZX5634JF508,5,21,28,N,N, 0.75 
R3JIAUIAID9PXO,5,51,51,N,Y, 1.00 
R3S6JI80FSXKO2,4,45,46,Y,N, 0.98 
RE2FFLKZJF8AF,5,31,31,N,Y, 1.00 
R3GR5QHIWRZSDD,4,23,23,N,Y, 1.00 
R2DL9SUXDODP92,5,31,32,N,Y, 0.97 
R64XYIYNMS1YT,5,132,157,N,N, 0.84 
